Country,Date Program/ Agency Established,Satellites Currently in Orbit/GSO,Moon Treaty Participant,Moon Treaty Participant Numeric,Space Travelling Astronauts,Outer Space Treaty Signatory,Outer Space Treaty Signatory Numeric,OST Date of Signature 1,OST Date of Signature,OST Year of Signature,OST Consent to be bound,OST Consent to be Bound Year,National Space Agency or Program,National Space Agency or Program Numeric,Name of Space Agency or Program,Artemis Accords Signatory,Artemis Accords Signatory Numeric
Afghanistan,,0,No,0,1,Yes,1.00,03-26-1969,"March 26, 1969",1969,"March 21, 1988",1988,No,0,N/A,No,0
Albania,,0,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Algeria,,6,No,0,0,Yes,1.00,0,#N/A,#N/A,"January 27, 1992",1992,Yes,1,Algerian Space Agency (ASAL),No,0
American Samoa,,0,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Andorra,,0,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Angola,,2,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,Yes,1,National Space Program Office (GGPEN),Yes,1
Anguilla,,0,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Antarctica,,0,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Antigua and Barbuda,,0,No,0,0,Yes,1.00,0,#N/A,#N/A,"November 16, 1988",1988,No,0,N/A,No,0
Argentina,,13,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"March 26, 1969",1969,Yes,1,"Comisión Nacional de Actividades Espaciales/National Commission on Space Activites (CONAE)
",Yes,1
Armenia,,2,Yes,1,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,Yes,1
Australia,,40,Yes,1,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"October 10,1967",1967,Yes,1,Australian Space Agency,Yes,1
Austria,,3,Yes,1,1,Yes,1.00,02-20-1967,"February 20, 1967",1967,"February 26, 1968",1968,No,0,N/A,Yes,1
Azerbaijan,,3,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,Yes,1,Space Agency of the Republic of Azerbaijan (Azercosmos),No,0
Bahamas,,0,No,0,0,Yes,1.00,0,#N/A,#N/A,"August 13, 1976",1976,No,0,N/A,No,0
Bahrain,,1,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,Yes,1,Space Agency of the Republic of Azerbaijan (Azercosmos),Yes,1
Bangladesh,,1,No,0,0,Yes,1.00,0,#N/A,#N/A,"January 17, 1986",1986,No,0,N/A,Yes,1
Barbados,,0,No,0,0,Yes,1.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Belarus,,3,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Belgium,,12,Yes,1,2,Yes,1.00,02-02-1967,"February 2, 1967",1967,"March 30, 1973",1973,No,0,N/A,Yes,1
Belize,,0,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Benin,,0,No,0,0,Yes,1.00,0,#N/A,#N/A,"July 7, 1986",1986,No,0,N/A,No,0
Bhutan,,0,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Bolivia,,1,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Bosnia and Herzegovina,,0,No,0,0,No,0.00,0,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Botswana,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Brazil,,40,No,0,1,Yes,1.00,02-02-1967,"February 2, 1967",1967,"March 5, 1969",1969,Yes,1,Brazilian Space Agency (AEB),Yes,1
British Virgin Islands,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Brunei Darussalam,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Bulgaria,,5,No,0,2,Yes,1.00,01-27-1967,"January 27, 1967",1967,"April 11, 1967",1967,No,0,N/A,Yes,1
Burkina Faso,,0,No,0,0,Yes,1.00,03-03-1967,"March 3, 1967",1967,"June 18, 1968",1968,No,0,N/A,No,0
Burundi,,0,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Cabo Verde,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Cambodia,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Cameroon,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Canada,,81,No,0,10,Yes,1.00,01-27-1967,"January 27, 1967",1967,"October 10, 1967",1967,Yes,1,Canadian Space Agency / Agence spatiale canadienne (CSA/ASC),Yes,1
Cape Verde,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Central African Republic,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
Chad,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Chile,,5,Yes,1,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"October 8, 1981",1981,No,0,N/A,Yes,1
China,,1245,No,0,11,Yes,1.00,#N/A,#N/A,#N/A,"December 30, 1983",1983,Yes,1,"China Manned Space Agency (CMSA), China National Space Administration (CNSA)",No,0
Christmas Island,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Cocos Islands,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Colombia,,2,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,Yes,1
Comoros,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Congo,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
